"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"switch";"SSSS810701";1;"SW_SPST";;;
2;"D1,D4,D2,D3";"LED_VBPW34S_VIS";4;"BPW34-SMD";;;
3;"U1";"R_8_ADI";1;"AD8092ARZ-REEL7";;;
4;"R2";"R_0805_2012Metric";1;"15k";;;
5;"J1";"CONN_SJ-2523-SMT-TR_CUD";1;"Conn_01x02";;;
6;"R6,R7";"R_0805_2012Metric";2;"10k";;;
7;"C8";"PCAP_EEHZ_D_PAN";1;"47mikro";;;
8;"C6,C3,C4,C7";"C_0805_2012Metric";4;"100n";;;
9;"C1,C2,C5";"C_0805_2012Metric";3;"10p";;;
10;"R8,R5";"R_0805_2012Metric";2;"100k";;;
11;"TP1";"PinHeader_1x01_P1.00mm_Vertical";1;"-";;;
12;"TP2";"PinHeader_1x01_P1.00mm_Vertical";1;"+";;;
13;"R3";"R_0805_2012Metric";1;"15Mega";;;
14;"R4";"R_0805_2012Metric";1;"1k";;;
15;"R1";"R_0805_2012Metric";1;"4.7k";;;
