time	V(output)
0.000000000000000e+00	9.883280e-16
4.999997000000000e-04	-2.302397e-11
5.000000000000000e-04	-2.686291e-11
5.000000300000000e-04	-3.728444e-09
5.000000900000000e-04	-1.524397e-08
5.000001800000001e-04	-3.891024e-08
5.000003000000000e-04	-7.412952e-08
5.000003120000000e-04	-7.665197e-08
5.000003360000000e-04	-8.013168e-08
5.000003840000000e-04	-8.157023e-08
5.000004799999999e-04	-7.344779e-08
5.000006719999998e-04	-4.902363e-08
5.000010559999997e-04	-1.720064e-08
5.000018239999994e-04	1.387700e-09
5.000125759999953e-04	-6.000361e-08
5.000248639999906e-04	-2.475793e-06
5.000494399999812e-04	-2.654261e-05
5.000985919999624e-04	-1.574753e-04
5.001968959999249e-04	-5.732991e-04
5.003935039998499e-04	-1.457564e-03
5.005737484847391e-04	-2.143249e-03
5.009342374545174e-04	-3.236833e-03
5.014744854101953e-04	-4.447706e-03
5.024510479101953e-04	-5.809468e-03
5.034276104101953e-04	-6.521264e-03
5.044041729101953e-04	-6.784261e-03
5.053807354101953e-04	-6.810544e-03
5.063572979101954e-04	-6.712706e-03
5.083104229101954e-04	-6.358755e-03
5.122166729101954e-04	-5.510585e-03
5.161229229101954e-04	-4.725884e-03
5.200291729101954e-04	-4.004653e-03
5.239354229101954e-04	-3.346891e-03
5.278416729101954e-04	-2.752599e-03
5.317479229101954e-04	-2.221777e-03
5.356541729101954e-04	-1.754423e-03
5.383048425530525e-04	-1.463979e-03
5.409555121959097e-04	-1.191977e-03
5.436061818387668e-04	-9.384173e-04
5.462568514816240e-04	-7.032994e-04
5.489075211244811e-04	-4.866237e-04
5.515581907673383e-04	-2.883900e-04
5.542088604101954e-04	-1.085984e-04
5.571385479101954e-04	7.610775e-05
5.600682354101954e-04	2.440399e-04
5.629979229101954e-04	3.963487e-04
5.659276104101954e-04	5.341138e-04
5.692758246959097e-04	6.721173e-04
5.726240389816240e-04	7.968664e-04
5.759722532673383e-04	9.083612e-04
5.793204675530525e-04	1.006602e-03
5.826686818387668e-04	1.091588e-03
5.860168961244811e-04	1.163319e-03
5.893651104101954e-04	1.221796e-03
5.941084139816240e-04	1.287672e-03
5.988517175530525e-04	1.341080e-03
6.035950211244811e-04	1.382021e-03
6.083383246959097e-04	1.410496e-03
6.130816282673383e-04	1.426503e-03
6.178249318387668e-04	1.430044e-03
6.225682354101955e-04	1.421117e-03
6.291251550530526e-04	1.397776e-03
6.356820746959098e-04	1.368063e-03
6.422389943387669e-04	1.331978e-03
6.487959139816241e-04	1.289520e-03
6.553528336244812e-04	1.240690e-03
6.619097532673384e-04	1.185488e-03
6.684666729101955e-04	1.123913e-03
6.792088604101955e-04	1.022719e-03
6.899510479101955e-04	9.251055e-04
7.006932354101955e-04	8.310712e-04
7.114354229101955e-04	7.406167e-04
7.221776104101955e-04	6.537418e-04
7.329197979101956e-04	5.704465e-04
7.436619854101956e-04	4.907310e-04
7.585894407673385e-04	3.957011e-04
7.735168961244813e-04	3.104490e-04
7.884443514816242e-04	2.349745e-04
8.033718068387670e-04	1.692776e-04
8.182992621959099e-04	1.133585e-04
8.332267175530528e-04	6.721700e-05
8.481541729101957e-04	3.085319e-05
8.576407800530528e-04	1.033436e-05
8.671273871959100e-04	-8.212444e-06
8.766139943387671e-04	-2.478723e-05
8.861006014816243e-04	-3.939000e-05
8.955872086244814e-04	-5.202075e-05
9.050738157673386e-04	-6.267948e-05
9.145604229101957e-04	-7.136619e-05
9.155369854101957e-04	-7.222546e-05
9.273952443387668e-04	-8.104118e-05
9.392535032673379e-04	-8.850199e-05
9.511117621959090e-04	-9.460788e-05
9.629700211244800e-04	-9.935887e-05
9.748282800530511e-04	-1.027550e-04
9.866865389816222e-04	-1.047961e-04
9.985447979101933e-04	-1.054824e-04
9.995213604101932e-04	-1.055404e-04
1.000000000000000e-03	-7.089395e+10
