"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5","3","10p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4,C6,C7,C9","5","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8","1","47mikro","","","","footprints:PCAP_EEHZ_D_PAN","~"
"D1,D2,D3,D4","4","BPW34-SMD","","","","footprints:LED_VBPW34S_VIS","https://dammedia.osram.info/media/resource/hires/osram-dam-5488319/BPW%2034%20S_EN.pdf"
"J1","1","Conn_01x02","","","","footprints:CONN_SJ-2523-SMT-TR_CUD","~"
"R1","1","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","15k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","15Mega","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","2.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW2","1","SW_SPST","","","","footprints:SWITCH_102AGRLC","~"
"TP1","1","-","","","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"TP2","1","+","","","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"U1","1","AD8092ARZ-REEL7","","","","footprints:R_8_ADI","AD8092ARZ-REEL7"
