time	V(output)
0.000000000000000e+00	9.900004e-16
4.999997000000000e-04	1.483594e-09
5.000000000000000e-04	1.502035e-09
5.000000300000000e-04	-2.459540e-07
5.000000900000000e-04	-6.765207e-07
5.000001800000001e-04	-1.167019e-06
5.000003000000000e-04	-1.653744e-06
5.000003120000000e-04	-1.575816e-06
5.000003360000000e-04	-1.430147e-06
5.000003840000000e-04	-1.182080e-06
5.000004799999999e-04	-8.188872e-07
5.000006719999998e-04	-4.021485e-07
5.000010559999997e-04	-7.696872e-08
5.000018239999994e-04	6.553424e-08
5.000033599999988e-04	1.164169e-07
5.000248639999906e-04	-3.410896e-06
5.000494399999812e-04	-2.929476e-05
5.000985919999624e-04	-1.323083e-04
5.001733228301427e-04	-3.412752e-04
5.002527240147347e-04	-5.749864e-04
5.003669390192725e-04	-8.948679e-04
5.005953690283481e-04	-1.478585e-03
5.010522290464992e-04	-2.463207e-03
5.019659490828015e-04	-3.972879e-03
5.029425115828015e-04	-5.090809e-03
5.039190740828016e-04	-5.782071e-03
5.048956365828016e-04	-6.175161e-03
5.058721990828016e-04	-6.366235e-03
5.068487615828016e-04	-6.421030e-03
5.078253240828016e-04	-6.384462e-03
5.088018865828016e-04	-6.287222e-03
5.107550115828016e-04	-5.987867e-03
5.122896097970873e-04	-5.688258e-03
5.138242080113730e-04	-5.391484e-03
5.153588062256587e-04	-5.097544e-03
5.168934044399445e-04	-4.806439e-03
5.184280026542302e-04	-4.518167e-03
5.199626008685159e-04	-4.232730e-03
5.214971990828016e-04	-3.950127e-03
5.244268865828016e-04	-3.460714e-03
5.273565740828016e-04	-3.002914e-03
5.302862615828016e-04	-2.576726e-03
5.332159490828016e-04	-2.182151e-03
5.361456365828016e-04	-1.819188e-03
5.390753240828016e-04	-1.487838e-03
5.420050115828016e-04	-1.188100e-03
5.449346990828016e-04	-9.083874e-04
5.478643865828016e-04	-6.519725e-04
5.507940740828016e-04	-4.172971e-04
5.537237615828016e-04	-2.028990e-04
5.566534490828016e-04	-7.405679e-06
5.595831365828016e-04	1.704703e-04
5.625128240828016e-04	3.319370e-04
5.654425115828016e-04	4.781272e-04
5.689302347970873e-04	6.302706e-04
5.724179580113730e-04	7.674784e-04
5.759056812256587e-04	8.897504e-04
5.793934044399445e-04	9.970868e-04
5.828811276542302e-04	1.089487e-03
5.863688508685159e-04	1.166952e-03
5.898565740828016e-04	1.229482e-03
5.947393865828016e-04	1.298694e-03
5.996221990828016e-04	1.354559e-03
6.045050115828016e-04	1.397075e-03
6.093878240828016e-04	1.426243e-03
6.142706365828016e-04	1.442063e-03
6.191534490828017e-04	1.444535e-03
6.240362615828017e-04	1.433659e-03
6.308721990828017e-04	1.406761e-03
6.377081365828017e-04	1.373325e-03
6.445440740828017e-04	1.333351e-03
6.513800115828017e-04	1.286837e-03
6.582159490828017e-04	1.233786e-03
6.650518865828017e-04	1.174195e-03
6.718878240828017e-04	1.108066e-03
6.838855919399446e-04	9.927769e-04
6.958833597970874e-04	8.829129e-04
7.078811276542303e-04	7.784740e-04
7.198788955113731e-04	6.794601e-04
7.318766633685161e-04	5.858713e-04
7.438744312256590e-04	4.977076e-04
7.558721990828018e-04	4.149689e-04
7.702416187256589e-04	3.312834e-04
7.846110383685161e-04	2.562843e-04
7.989804580113732e-04	1.899717e-04
8.133498776542304e-04	1.323455e-04
8.277192972970875e-04	8.340571e-05
8.420887169399448e-04	4.315241e-05
8.564581365828019e-04	1.158555e-05
8.646891633685162e-04	-4.721621e-06
8.729201901542305e-04	-1.958355e-05
8.811512169399448e-04	-3.300025e-05
8.893822437256590e-04	-4.497170e-05
8.976132705113733e-04	-5.549791e-05
9.058442972970876e-04	-6.457889e-05
9.140753240828019e-04	-7.221462e-05
9.150518865828019e-04	-7.308291e-05
9.269101455113730e-04	-8.197877e-05
9.387684044399441e-04	-8.950052e-05
9.506266633685153e-04	-9.564816e-05
9.624849222970864e-04	-1.004217e-04
9.743431812256574e-04	-1.038211e-04
9.862014401542285e-04	-1.058465e-04
9.980596990827996e-04	-1.064977e-04
9.990362615827995e-04	-1.065526e-04
1.000000000000000e-03	-1.066013e-04
